title,price_gbp,rating,availability,category,rating_numeric
Eight Hundred Grapes,14.39,Four,In stock,Books,4
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",51.75,Five,In stock,Books,5
"Eat Fat, Get Thin",54.07,Two,In stock,Books,2
Don't Get Caught,55.35,One,In stock,Books,1
Doctor Sleep (The Shining #2),40.12,Two,In stock,Books,2
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),37.51,Five,In stock,Books,5
Dear Mr. Knightley,11.21,Five,In stock,Books,5
Daily Fantasy Sports,36.58,One,In stock,Books,1
Crazy Love: Overwhelmed by a Relentless God,47.72,Two,In stock,Books,2
Cometh the Hour (The Clifton Chronicles #6),25.01,Three,In stock,Books,3
Code Name Verity (Code Name Verity #1),22.13,Four,In stock,Books,4
Clockwork Angel (The Infernal Devices #1),44.14,One,In stock,Books,1
City of Glass (The Mortal Instruments #3),56.02,Four,In stock,Books,4
City of Fallen Angels (The Mortal Instruments #4),11.23,Four,In stock,Books,4
City of Bones (The Mortal Instruments #1),43.28,One,In stock,Books,1
City of Ashes (The Mortal Instruments #2),47.27,One,In stock,Books,1
Cell,20.29,Four,In stock,Books,4
Catching Jordan (Hundred Oaks),50.83,Three,In stock,Books,3
"Carry On, Warrior: Thoughts on Life Unarmed",31.85,Three,In stock,Books,3
Carrie,46.23,Two,In stock,Books,2
Buying In: The Secret Dialogue Between What We Buy and Who We Are,37.8,Four,In stock,Books,4
Brain on Fire: My Month of Madness,49.32,Five,In stock,Books,5
Batman: Europa,32.01,Two,In stock,Books,2
Barefoot Contessa Back to Basics,28.01,One,In stock,Books,1
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,50.62,Five,In stock,Books,5
Balloon Animals,17.03,Three,In stock,Books,3
Art Ops Vol. 1,48.8,Three,In stock,Books,3
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),58.14,Four,In stock,Books,4
Angels Walking (Angels Walking #1),34.2,Two,In stock,Books,2
Angels & Demons (Robert Langdon #1),51.48,Three,In stock,Books,3
All the Light We Cannot See,29.87,Five,In stock,Books,5
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,Two,In stock,Books,2
Abstract City,56.37,Five,In stock,Books,5
A Time of Torment (Charlie Parker #14),48.35,Five,In stock,Books,5
A Study in Scarlet (Sherlock Holmes #1),16.73,Two,In stock,Books,2
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",56.48,Two,In stock,Books,2
A People's History of the United States,40.79,Two,In stock,Books,2
A Man Called Ove,39.72,One,In stock,Books,1
A Distant Mirror: The Calamitous 14th Century,14.58,Three,In stock,Books,3
A Brush of Wings (Angels Walking #3),55.51,One,In stock,Books,1
1491: New Revelations of the Americas Before Columbus,21.8,Three,In stock,Books,3
"The Three Searches, Meaning, and the Story",13.33,Three,In stock,Books,3
Searching for Meaning in Gailana,38.73,One,In stock,Books,1
Rook,37.86,Four,In stock,Books,4
My Kitchen Year: 136 Recipes That Saved My Life,11.53,Two,In stock,Books,2
13 Hours: The Inside Account of What Really Happened In Benghazi,27.06,One,In stock,Books,1
Will You Won't You Want Me?,13.86,Three,In stock,Books,3
Tipping Point for Planet Earth: How Close Are We to the Edge?,37.55,One,In stock,Books,1
The Star-Touched Queen,32.3,Five,In stock,Books,5
The Silent Sister (Riley MacPherson #1),46.29,Five,In stock,Books,5
The Midnight Watch: A Novel of the Titanic and the Californian,26.2,One,In stock,Books,1
The Lonely City: Adventures in the Art of Being Alone,33.26,Two,In stock,Books,2
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,59.15,Four,In stock,Books,4
The Golden Condom: And Other Essays on Love Lost and Found,39.43,One,In stock,Books,1
The Epidemic (The Program 0.6),14.44,Five,In stock,Books,5
The Dinner Party,56.54,Two,In stock,Books,2
The Diary of a Young Girl,59.9,Three,In stock,Books,3
The Children,11.88,Three,In stock,Books,3
Stars Above (The Lunar Chronicles #4.5),48.05,Two,In stock,Books,2
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,21.21,Three,In stock,Books,3
Raspberry Pi Electronics Projects for the Evil Genius,49.67,Four,In stock,Books,4
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,43.14,One,In stock,Books,1
Psycho: Sanitarium (Psycho #1.5),36.97,Five,In stock,Books,5
Poisonous (Max Revere Novels #3),26.8,Three,In stock,Books,3
One with You (Crossfire #5),15.71,Four,In stock,Books,4
No Love Allowed (Dodge Cove #1),54.65,Four,In stock,Books,4
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,Four,In stock,Books,4
Most Wanted,35.28,Three,In stock,Books,3
"Love, Lies and Spies",20.55,Two,In stock,Books,2
How to Speak Golf: An Illustrated Guide to Links Lingo,58.32,Five,In stock,Books,5
Hide Away (Eve Duncan #20),11.84,One,In stock,Books,1
Furiously Happy: A Funny Book About Horrible Things,41.46,Four,In stock,Books,4
